2025-12-06 02:09:33:3333 : | info | "GET /stats - totalVolunteers=8" |
2025-12-06 02:09:33:3333 : | info | "GET /stats - totalHours=[object Object]" |
2025-12-06 02:09:33:3333 : | info | "GET /stats - pendingSubmissions=6" |
2025-12-06 02:09:33:3333 : | info | "GET /stats - Response sent successfully." |
2025-12-06 02:10:24:2424 : | info | "PUT /review-hours/:id - API execution started. Id=693342df735b7c59b5c131be" |
2025-12-06 02:10:24:2424 : | info | "PUT /review-hours/:id - Hours entry updated and saved. Id=693342df735b7c59b5c131be newStatus=approved" |
2025-12-06 02:10:24:2424 : | info | "PUT /review-hours/:id - Volunteer updated. volunteerId=68c8fd17c743b48c4e314119 totalHoursAfter=280 tierBefore=Service Champion tierAfter=Legacy Leader badgeAdded=true" |
2025-12-06 02:10:26:2626 : | info | "PUT /review-hours/:id - Response sent successfully. Id=693342df735b7c59b5c131be" |
2025-12-06 02:10:26:2626 : | info | "GET /stats - API execution started." |
2025-12-06 02:10:26:2626 : | info | "GET /stats - totalVolunteers=8" |
2025-12-06 02:10:26:2626 : | info | "GET /stats - totalHours=[object Object]" |
2025-12-06 02:10:26:2626 : | info | "GET /stats - pendingSubmissions=5" |
2025-12-06 02:10:26:2626 : | info | "GET /stats - Response sent successfully." |
2025-12-06 02:10:26:2626 : | info | "GET /pending-hours - API execution started." |
2025-12-06 02:10:26:2626 : | info | "GET /admin/summary - Execution started. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 02:10:26:2626 : | info | "GET /stats - API execution started." |
2025-12-06 02:10:26:2626 : | info | "GET /pending-hours - Response sent successfully." |
2025-12-06 02:10:26:2626 : | info | "GET /stats - totalVolunteers=8" |
2025-12-06 02:10:27:2727 : | info | "GET /stats - totalHours=[object Object]" |
2025-12-06 02:10:27:2727 : | info | "GET /pending-hours - API execution started." |
2025-12-06 02:10:27:2727 : | info | "GET /stats - pendingSubmissions=5" |
2025-12-06 02:10:27:2727 : | info | "GET /admin/summary - Summary fetched successfully." |
2025-12-06 02:10:27:2727 : | info | "GET /stats - Response sent successfully." |
2025-12-06 02:10:27:2727 : | info | "GET /pending-hours - Response sent successfully." |
2025-12-06 02:10:46:4646 : | info | "GET /admin/tiers - API execution started. adminId=68c8351b1eee63d9c051fc7e" |
2025-12-06 02:10:46:4646 : | info | "GET /admin/tiers - Tier counts computed successfully." |
2025-12-06 02:11:07:077 : | info | "GET /admin/tiers - API execution started. adminId=68c8351b1eee63d9c051fc7e" |
2025-12-06 02:11:07:077 : | info | "GET /admin/tiers - Tier counts computed successfully." |
2025-12-06 02:11:10:1010 : | info | "POST /admin/tiers - API execution started. userId=68c8351b1eee63d9c051fc7e tier=Change Catalyst" |
2025-12-06 02:11:11:1111 : | info | "POST /admin/tiers - API execution started. userId=68c8351b1eee63d9c051fc7e tier=Legacy Leader" |
2025-12-06 02:11:19:1919 : | info | "POST /admin/tiers - API execution started. userId=68c8351b1eee63d9c051fc7e tier=Change Catalyst" |
2025-12-06 02:11:21:2121 : | info | "POST /admin/tiers - API execution started. userId=68c8351b1eee63d9c051fc7e tier=Legacy Leader" |
2025-12-06 02:11:24:2424 : | info | "POST /admin/tiers - API execution started. userId=68c8351b1eee63d9c051fc7e tier=Kindness Ambassador" |
2025-12-06 02:11:39:3939 : | info | "POST /admin/tiers - API execution started. userId=68c8351b1eee63d9c051fc7e tier=Kindness Ambassador" |
2025-12-06 02:11:43:4343 : | info | "POST /admin/tiers - API execution started. userId=68c8351b1eee63d9c051fc7e tier=Legacy Leader" |
2025-12-06 02:11:44:4444 : | info | "POST /admin/tiers - API execution started. userId=68c8351b1eee63d9c051fc7e tier=Change Catalyst" |
2025-12-06 02:11:45:4545 : | info | "POST /admin/tiers - API execution started. userId=68c8351b1eee63d9c051fc7e tier=Kindness Ambassador" |
2025-12-06 02:11:45:4545 : | info | "POST /admin/tiers - API execution started. userId=68c8351b1eee63d9c051fc7e tier=Kindness Ambassador" |
2025-12-06 02:11:45:4545 : | info | "POST /admin/tiers - API execution started. userId=68c8351b1eee63d9c051fc7e tier=Kindness Ambassador" |
2025-12-06 02:11:46:4646 : | info | "POST /admin/tiers - API execution started. userId=68c8351b1eee63d9c051fc7e tier=Kindness Ambassador" |
2025-12-06 02:12:21:2121 : | info | "POST /login - API execution started." |
2025-12-06 02:12:21:2121 : | info | "POST /login - Response sent successfully." |
2025-12-06 02:12:21:2121 : | info | "GET /newTier - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:12:21:2121 : | info | "GET /dashboard - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:12:21:2121 : | info | "GET /newTier - New tier unlocked! unlockedTier=Legacy Leader userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:12:21:2121 : | info | "GET /newTier - Sending response. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:12:21:2121 : | info | "GET /dashboard - Response sent successfully. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:15:05:055 : | info | "POST /register - API execution started." |
2025-12-06 02:15:05:055 : | info | "POST /register - Image uploaded at /uploads/userProfilePictures/1764967505797-871231099.png" |
2025-12-06 02:15:06:066 : | info | "POST /register - User registered successfully." |
2025-12-06 02:15:22:2222 : | info | "POST /login - API execution started." |
2025-12-06 02:15:23:2323 : | info | "POST /login - Response sent successfully." |
2025-12-06 02:15:23:2323 : | info | "GET /dashboard - API execution started. userId=69334451735b7c59b5c13238" |
